Date,Open,High,Low,Close,Adj Close,Volume,%delivery,Share Delivery,52_Week_High,52_Week_Low,Basic EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),P/E,P/B (price to book ratio),FII,DII,%Delivery,Delivery_Volume,Traded_Volume
01-07-2020,2079.699951,2113.949951,2079.5,2092.050049,1968.005737,2503466,0.119055379,2980.510935,2952,2079.5,88.64,95.9,198.31,73,21.81491188,10.54939261,16,7.85,33.10%,829.39,2503.47
02-07-2020,2102,2165,2098,2157.149902,2029.24585,3758699,0.178749515,6718.656245,2952,2079.5,88.64,95.9,198.31,73,22.49374246,10.87766579,16,7.85,37.60%,1413.97,3758.71
03-07-2020,2163.649902,2205,2160.25,2199.649902,2069.225586,4185208,0.199032671,8329.93127,2952,2079.5,88.64,95.9,198.31,73,22.93691243,11.09197671,16,7.85,34.90%,1461.4,4185.22
06-07-2020,2205,2269.899902,2205,2263.199951,2129.007324,5190366,0.246834186,12811.59765,2952,2079.5,88.64,95.9,198.31,73,23.59958239,11.41243483,16,7.85,45.80%,2379.67,5190.37
07-07-2020,2275,2302.699951,2232.149902,2269.899902,2135.310303,5630055,0.267744132,15074.14191,2952,2079.5,88.64,95.9,198.31,73,23.66944632,11.44622007,16,7.85,33.10%,1863.66,5630.08
08-07-2020,2270,2274.399902,2207.600098,2218.899902,2087.334229,2793358,0.132841547,3710.739971,2952,2079.5,88.64,95.9,198.31,73,23.13764236,11.18904696,16,7.85,39.30%,1098.74,2793.67
09-07-2020,2229,2244.5,2191.050049,2204.350098,2073.647217,3443998,0.163783525,5640.70134,2952,2079.5,88.64,95.9,198.31,73,22.98592385,11.11567797,16,7.85,24.60%,846.33,3444
10-07-2020,2205.25,2249.850098,2176,2222.350098,2090.579834,9610320,0.457030489,43922.09249,2952,2079.5,88.64,95.9,198.31,73,23.17361937,11.20644495,16,7.85,14.90%,1433.3,9610.33
13-07-2020,2220,2244.949951,2210,2220,2088.369385,2963503,0.140933,4176.553673,2952,2079.5,88.64,95.9,198.31,73,23.14911366,11.19459432,16,7.85,31.70%,938.36,2963.53
14-07-2020,2210,2239,2165,2171.949951,2043.167847,2976738,0.141562406,4213.94194,2952,2079.5,88.64,95.9,198.31,73,22.6480704,10.95229666,16,7.85,40.70%,1212.62,2976.75
15-07-2020,2185,2260,2181.100098,2233.899902,2101.44458,5569321,0.264855853,14750.67263,2952,2079.5,88.64,95.9,198.31,73,23.29405529,11.26468611,16,7.85,35.30%,1964.04,5569.32
16-07-2020,2244,2333,2220.100098,2234.75,2106.960693,8582118,0.408133089,35026.46328,2952,2079.5,88.64,95.9,198.31,73,23.30291971,11.26897282,16,7.85,36.50%,3128.88,8582.12
17-07-2020,2237,2243.899902,2190.050049,2200.75,2074.904785,4509135,0.214437415,9669.272514,2952,2079.5,88.64,95.9,198.31,73,22.94838373,11.09752408,16,7.85,41.60%,1875.87,4509.14
20-07-2020,2201,2226.899902,2190.800049,2207.899902,2081.645508,2952646,0.140416682,4146.007538,2952,2079.5,88.64,95.9,198.31,73,23.02293954,11.13357825,16,7.85,30.50%,901.48,2952.72
21-07-2020,2230,2238.649902,2201.149902,2225.050049,2097.814697,2665286,0.126750927,3378.274699,2952,2079.5,88.64,95.9,198.31,73,23.20177319,11.22005975,16,7.85,44.20%,1177.3,2665.39
22-07-2020,2231,2231,2184.199951,2190.949951,2065.665039,2861534,0.136083739,3894.082474,2952,2079.5,88.64,95.9,198.31,73,22.84619344,11.04810625,16,7.85,53.90%,1542.27,2861.7
23-07-2020,2190.949951,2190.949951,2163,2171.199951,2047.044434,2265766,0.107751266,2441.391541,2952,2079.5,88.64,95.9,198.31,73,22.64024975,10.94851471,16,7.85,44.80%,1015.29,2265.79
